#,Thermostat,identifier,311053328721
#,Thermostat,name,Front AC
#,Start,date,2026-07-12
#,End,date,2026-08-12

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Requested Compressor Capacity (%),Requested Aux Capacity (%),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),Silent Mode (sec),Heat Pump Capacity (%),Heat Pump 2 Capacity (%),Heat Pump 3 Capacity (%),Compressor Heat Capacity (%),Compressor Cool Capacity (%),Aux Heat Capacity (%),DM Offset,Electricity Consumption,Gas Consumption,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Master Bedroom AC sensor (F),Master Bedroom AC sensor2
2026-07-12,00:00:00,cool,compressorCoolOff,hold,Sleep,76,76,76.6,38,0,0,90.6,0,285,0,285,,,,,,,,0.2,,,76.8,38,0,,0,
2026-07-12,00:05:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.4,37,0,0,90.6,0,255,0,300,,,,,,,,0.4,,,76.8,37,0,,0,
2026-07-12,00:10:00,cool,compressorCoolOff,hold,Sleep,76,76,75.7,37,0,0,90.6,0,0,0,0,,,,,,,,0.4,,,76.1,37,0,,0,
2026-07-12,00:15:00,cool,compressorCoolOff,hold,Sleep,76,76,75.5,38,0,0,90.6,0,0,0,0,,,,,,,,,,,75.6,38,0,,0,
2026-07-12,00:20:00,cool,compressorCoolOff,hold,Sleep,76,76,75.6,38,0,0,90.6,0,0,0,0,,,,,,,,0.2,,,75.8,38,0,,0,
2026-07-12,00:25:00,cool,compressorCoolOff,hold,Sleep,76,76,76,38,0,0,90.6,0,0,0,0,,,,,,,,0.2,,,76.2,38,0,,0,
2026-07-12,00:30:00,cool,compressorCoolOff,hold,Sleep,76,76,76.4,38,0,0,90.6,0,150,0,150,,,,,,,,0.2,,,76.6,38,0,,0,
2026-07-12,00:35:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.7,38,0,0,90.6,0,300,0,300,,,,,,,,0.2,,,76.9,38,0,,0,
2026-07-12,00:40:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.4,38,0,0,90.6,0,300,0,300,,,,,,,,0.2,,,76.6,38,0,,0,
2026-07-12,00:45:00,cool,compressorCoolStage1On,hold,Sleep,76,76,75.6,37,0,0,90.6,0,45,0,90,,,,,,,,0.3,,,75.9,37,0,,0,
2026-07-12,00:50:00,cool,compressorCoolOff,hold,Sleep,76,76,75,38,0,0,90.6,0,0,0,0,,,,,,,,0.2,,,75.2,38,0,,0,
2026-07-12,00:55:00,cool,compressorCoolOff,hold,Sleep,76,76,75.3,38,0,0,90.6,0,0,0,0,,,,,,,,0.2,,,75.5,38,0,,0,
2026-07-12,01:00:00,cool,compressorCoolOff,hold,Sleep,76,76,75.7,38,0,0,89.5,0,0,0,0,,,,,,,,0.2,,,75.9,38,0,,0,
2026-07-12,01:05:00,cool,compressorCoolOff,hold,Sleep,76,76,76.1,38,0,0,89.5,0,0,0,0,,,,,,,,0.2,,,76.3,38,0,,0,
2026-07-12,01:10:00,cool,compressorCoolOff,hold,Sleep,76,76,76.4,38,0,0,89.5,0,150,0,150,,,,,,,,0.2,,,76.6,38,0,,0,
2026-07-12,01:15:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.6,38,0,0,89.5,0,300,0,300,,,,,,,,0.2,,,76.8,38,0,,0,
2026-07-12,01:20:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.2,38,0,0,89.5,0,270,0,300,,,,,,,,0.2,,,76.4,38,0,,0,
2026-07-12,01:25:00,cool,compressorCoolOff,hold,Sleep,76,76,75.5,38,0,0,89.5,0,0,0,15,,,,,,,,0.2,,,75.7,38,0,,0,
2026-07-12,01:30:00,cool,compressorCoolOff,hold,Sleep,76,76,75,38,0,0,90.4,0,0,0,0,,,,,,,,0.2,,,75.2,38,0,,0,
2026-07-12,01:35:00,cool,compressorCoolOff,hold,Sleep,76,76,75.4,38,0,0,90.4,0,0,0,0,,,,,,,,0.2,,,75.6,38,0,,0,
2026-07-12,01:40:00,cool,compressorCoolOff,hold,Sleep,76,76,75.8,38,0,0,90.4,0,0,0,0,,,,,,,,0.2,,,76,38,0,,0,
2026-07-12,01:45:00,cool,compressorCoolOff,hold,Sleep,76,76,76.2,38,0,0,90.4,0,285,0,285,,,,,,,,0.2,,,76.4,38,0,,0,
2026-07-12,01:50:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.1,38,0,0,90.4,0,255,0,300,,,,,,,,0.2,,,76.3,38,0,,0,
2026-07-12,01:55:00,cool,compressorCoolOff,hold,Sleep,76,76,75.6,38,0,0,90.4,0,0,0,0,,,,,,,,0.2,,,75.8,38,0,,0,
2026-07-12,02:00:00,cool,compressorCoolOff,hold,Sleep,76,76,75.3,39,0,0,89.1,0,0,0,0,,,,,,,,,,,75.3,39,0,,0,
2026-07-12,02:05:00,cool,compressorCoolOff,hold,Sleep,76,76,75.5,38,0,0,89.1,0,0,0,0,,,,,,,,0.1,,,75.6,38,0,,0,
2026-07-12,02:10:00,cool,compressorCoolOff,hold,Sleep,76,76,75.8,38,0,0,89.1,0,15,0,15,,,,,,,,0.2,,,76,38,0,,0,
2026-07-12,02:15:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.2,38,0,0,89.1,0,300,0,300,,,,,,,,0.2,,,76.4,38,0,,0,
2026-07-12,02:20:00,cool,compressorCoolStage1On,hold,Sleep,76,76,76.3,38,0,0,89.1,0,300,0,300,,,,,,,,0.2,,,76.5,38,0,,0,
2026-07-12,02:25:00,cool,compressorCoolStage1On,hold,Sleep,76,76,75.7,38,0,0,89.1,0,45,0,90,,,,,,,,0.2,,,75.9,38,0,,0,
2026-07-12,02:30:00,cool,compressorCoolOff,hold,Sleep,76,76,75.2,38,0,0,89.9,0,0,0,0,,,,,,,,,,,75.2,38,0,,0,
2026-07-12,02:35:00,cool,compressorCoolOff,hold,Sleep,76,76,75.3,39,0,0,89.9,0,0,0,0,,,,,,,,,,,75.4,39,0,,0,
